components,components_down,current_state,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 454.8, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 358.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 308.5, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 304.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:27:11
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 336.2, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 427.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 309.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 249.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,,,,,2026-03-22 23:28:11
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 448.8, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 373.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 372.7, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 302.7, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:29:09
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 431.2, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 312.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 352.8, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 244.9, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:30:08
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 429.1, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 300.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 365.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 239.9, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:31:14
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 324.3, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 371.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 247.0, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 250.2, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:32:06
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 433.6, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 299.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 254.0, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 233.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:33:18
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 383.4, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 306.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 427.7, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 252.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:34:06
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 260.9, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 363.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 316.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 238.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:35:01
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 447.4, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 417.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 372.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 312.0, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,7,,,,,,2026-03-22 23:36:16
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 348.5, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 422.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 235.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 597.7, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,,,,,2026-03-22 23:37:08
