block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1330s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:58:55
cooldown после ATR-стопа ещё активен 641s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:59:00
cooldown после ATR-стопа ещё активен 1303s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:59:22
cooldown после ATR-стопа ещё активен 613s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:59:28
cooldown после ATR-стопа ещё активен 1274s; цена отошла только на 0.13 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06022,True,short,2026-03-23 01:59:51
cooldown после ATR-стопа ещё активен 585s; цена отошла только на 0.78 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05739,True,long,2026-03-23 01:59:57
cooldown после ATR-стопа ещё активен 1246s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:00:19
cooldown после ATR-стопа ещё активен 1222s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:00:44
cooldown после ATR-стопа ещё активен 1192s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:01:13
cooldown после ATR-стопа ещё активен 1165s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:01:41
cooldown после ATR-стопа ещё активен 1137s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:02:08
cooldown после ATR-стопа ещё активен 1108s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:02:37
cooldown после ATR-стопа ещё активен 1081s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:03:04
cooldown после ATR-стопа ещё активен 1055s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:03:30
cooldown после ATR-стопа ещё активен 1026s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:03:59
cooldown после ATR-стопа ещё активен 1000s; цена отошла только на 0.52 ATR,True,CFX-USDT-SWAP,Канальный выход 20 свечей,0.0,0.06032,True,short,2026-03-23 02:04:25
cooldown после ATR-стопа ещё активен 1579s; цена отошла только на 0.48 ATR,True,LTC-USDT-SWAP,ATR стоп 2.0N,0.0,53.57,True,long,2026-03-23 02:25:16
cooldown после ATR-стопа ещё активен 1346s; цена отошла только на 0.48 ATR,True,LTC-USDT-SWAP,ATR стоп 2.0N,0.0,53.57,True,long,2026-03-23 02:29:09
cooldown после ATR-стопа ещё активен 1297s; цена отошла только на 0.48 ATR,True,LTC-USDT-SWAP,ATR стоп 2.0N,0.0,53.57,True,long,2026-03-23 02:29:58
cooldown после ATR-стопа ещё активен 1274s; цена отошла только на 0.12 ATR,True,LTC-USDT-SWAP,ATR стоп 2.0N,0.0,53.54,True,long,2026-03-23 02:30:21
