cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0913,False,,,,False,,long,5m,2026-03-27 07:20:24
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0913,False,,,,False,,short,5m,2026-03-27 07:20:24
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.47,False,,,,False,,long,5m,2026-03-27 07:20:29
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.47,False,,,,False,,short,5m,2026-03-27 07:20:29
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,long,5m,2026-03-27 07:20:37
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,short,5m,2026-03-27 07:20:37
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6702,False,,,,False,,long,5m,2026-03-27 07:20:41
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6702,False,,,,False,,short,5m,2026-03-27 07:20:41
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.212,False,,,,False,,long,5m,2026-03-27 07:20:49
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.212,False,,,,False,,short,5m,2026-03-27 07:20:49
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,462.5,False,,,,False,,long,5m,2026-03-27 07:20:50
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,462.5,False,,,,False,,short,5m,2026-03-27 07:20:50
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68467.4,False,,,,False,,long,5m,2026-03-27 07:20:58
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68467.4,False,,,,False,,short,5m,2026-03-27 07:20:58
False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.68,False,,,,False,,long,5m,2026-03-27 07:21:08
False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.68,False,,,,False,,short,5m,2026-03-27 07:21:08
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.872,False,,,,False,,long,5m,2026-03-27 07:21:11
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.872,False,,,,False,,short,5m,2026-03-27 07:21:11
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.959,False,,,,False,,long,5m,2026-03-27 07:21:24
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.959,False,,,,False,,short,5m,2026-03-27 07:21:24
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3918,False,,,,False,,long,5m,2026-03-27 07:21:28
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3918,False,,,,False,,short,5m,2026-03-27 07:21:28
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.285,False,,,,False,,long,5m,2026-03-27 07:21:30
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.285,False,,,,False,,short,5m,2026-03-27 07:21:30
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2858,False,,,,False,,long,5m,2026-03-27 07:21:31
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2858,False,,,,False,,short,5m,2026-03-27 07:21:31
False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2734,False,,,,False,,long,5m,2026-03-27 07:21:36
False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2734,False,,,,False,,short,5m,2026-03-27 07:21:36
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0555,False,,,,False,,long,5m,2026-03-27 07:21:44
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0555,False,,,,False,,short,5m,2026-03-27 07:21:44
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.246,False,,,,False,,long,5m,2026-03-27 07:22:11
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.246,False,,,,False,,short,5m,2026-03-27 07:22:11
