cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.06163,False,,,,False,,long,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.06163,False,,,,False,,short,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03554,False,,,,False,,long,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03554,False,,,,False,,short,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.47,False,,,,False,,long,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.47,False,,,,False,,short,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,CRV-USDT-SWAP,,,0.2377,False,,,,False,,long,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,CRV-USDT-SWAP,,,0.2377,False,,,,False,,short,5m,2026-03-19 14:04:52
False,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.536,False,,,,False,,long,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.536,False,,,,False,,short,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,ETH-USDT-SWAP,,,2250.0,False,,,,False,,long,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,ETH-USDT-SWAP,,,2250.0,False,,,,False,,short,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,ETHW-USDT-SWAP,,,0.2685,False,,,,False,,long,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,ETHW-USDT-SWAP,,,0.2685,False,,,,False,,short,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.912,False,,,,False,,long,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.912,False,,,,False,,short,5m,2026-03-19 14:04:53
False,,reentry_check,True,ok,FLOKI-USDT-SWAP,,,2.956e-05,False,,,,False,,long,5m,2026-03-19 14:04:54
False,,reentry_check,True,ok,FLOKI-USDT-SWAP,,,2.956e-05,False,,,,False,,short,5m,2026-03-19 14:04:54
False,,reentry_check,True,ok,GMT-USDT-SWAP,,,0.01096,False,,,,False,,long,5m,2026-03-19 14:04:54
False,,reentry_check,True,ok,GMT-USDT-SWAP,,,0.01096,False,,,,False,,short,5m,2026-03-19 14:04:54
False,,reentry_check,True,ok,HBAR-USDT-SWAP,,,0.0935,False,,,,False,,long,5m,2026-03-19 14:04:54
