breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,ENA-USDT-SWAP,,,0.0911,False,,,,False,,long,5m,2026-03-29 04:30:36
,False,,,reentry_check,True,ok,ENA-USDT-SWAP,,,0.0911,False,,,,False,,short,5m,2026-03-29 04:30:36
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,long,5m,2026-03-29 04:30:39
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,short,5m,2026-03-29 04:30:39
,False,,,reentry_check,True,ok,ETHFI-USDT-SWAP,,,0.459,False,,,,False,,long,5m,2026-03-29 04:30:42
,False,,,reentry_check,True,ok,ETHFI-USDT-SWAP,,,0.459,False,,,,False,,short,5m,2026-03-29 04:30:42
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,long,5m,2026-03-29 04:30:56
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,short,5m,2026-03-29 04:30:56
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,long,5m,2026-03-29 04:31:04
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,short,5m,2026-03-29 04:31:04
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,long,5m,2026-03-29 04:31:06
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,short,5m,2026-03-29 04:31:06
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,54.05,False,,,,False,,long,5m,2026-03-29 04:31:12
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,54.05,False,,,,False,,short,5m,2026-03-29 04:31:12
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,long,5m,2026-03-29 04:31:17
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,short,5m,2026-03-29 04:31:17
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,long,5m,2026-03-29 04:31:18
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,short,5m,2026-03-29 04:31:18
,False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.588,False,,,,False,,long,5m,2026-03-29 04:31:22
,False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.588,False,,,,False,,short,5m,2026-03-29 04:31:22
,,,,reentry_check,True,scan,NEO-USDT-SWAP,,,2.588,False,0.0,,,,,scan,5m,2026-03-29 04:31:22
,False,,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.33,False,,,,False,,long,5m,2026-03-29 04:31:40
,False,,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.33,False,,,,False,,short,5m,2026-03-29 04:31:40
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,long,5m,2026-03-29 04:31:48
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,short,5m,2026-03-29 04:31:48
