block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 611s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:07:44
cooldown после ATR-стопа ещё активен 1076s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:07:53
cooldown после ATR-стопа ещё активен 595s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:08:00
cooldown после ATR-стопа ещё активен 1058s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:08:10
cooldown после ATR-стопа ещё активен 578s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:08:17
cooldown после ATR-стопа ещё активен 1043s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:08:25
cooldown после ATR-стопа ещё активен 563s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:08:33
cooldown после ATR-стопа ещё активен 1025s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:08:43
cooldown после ATR-стопа ещё активен 544s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:08:51
cooldown после ATR-стопа ещё активен 1009s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:08:59
cooldown после ATR-стопа ещё активен 528s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:09:07
cooldown после ATR-стопа ещё активен 989s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:09:19
cooldown после ATR-стопа ещё активен 509s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:09:27
cooldown после ATR-стопа ещё активен 973s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:09:35
cooldown после ATR-стопа ещё активен 493s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:09:43
cooldown после ATR-стопа ещё активен 956s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:09:53
cooldown после ATR-стопа ещё активен 475s; цена отошла только на 0.43 ATR,True,SUI-USDT-SWAP,ATR стоп 2.0N,0.0,0.96208,True,long,2026-03-21 18:10:00
cooldown после ATR-стопа ещё активен 916s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:10:32
cooldown после ATR-стопа ещё активен 529s; цена отошла только на 0.81 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2792,True,long,2026-03-21 18:10:37
cooldown после ATR-стопа ещё активен 899s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:10:49
cooldown после ATR-стопа ещё активен 512s; цена отошла только на 0.81 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2792,True,long,2026-03-21 18:10:55
cooldown после ATR-стопа ещё активен 880s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:11:08
cooldown после ATR-стопа ещё активен 494s; цена отошла только на 0.81 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2792,True,long,2026-03-21 18:11:12
cooldown после ATR-стопа ещё активен 864s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:11:24
cooldown после ATR-стопа ещё активен 476s; цена отошла только на 0.81 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2792,True,long,2026-03-21 18:11:30
cooldown после ATR-стопа ещё активен 848s; цена отошла только на 1.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0948,True,short,2026-03-21 18:11:41
