2026-03-25 19:12:30,944 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AI16Z-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:30,985 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BOME-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:31,245 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AKITA-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:31,482 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BRETT-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:31,495 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AKITA-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:31,738 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BRETT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:31,751 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AKITA-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:32,052 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=AKITA-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:32,238 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BTC-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:32,309 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:32,550 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:32,695 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CAT-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:32,852 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ALGO-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:32,930 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CAT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:33,137 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:33,411 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CATI-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:33,433 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:33,689 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CATI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:33,699 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ARB-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:33,942 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:34,121 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CELO-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:34,188 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:34,443 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ASP-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:34,450 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CELO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:34,752 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ASP-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:34,913 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CFX-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:35,042 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:35,226 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CFX-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:35,306 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:35,595 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ASTER-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:35,745 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CHZ-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:35,907 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:35,985 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CHZ-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:36,202 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:36,451 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ATOM-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:36,466 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=COAI-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:36,717 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=COAI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:36,756 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ATOM-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:36,999 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AUCTION-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:37,149 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=COMP-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:37,250 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AUCTION-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:37,403 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=COMP-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:37,497 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AUCTION-USDT-SWAP&limit=100 "HTTP/2 200 OK"
