breakout_id,cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.85798,False,,,,False,,long,5m,2026-03-29 13:11:54
,False,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.85798,False,,,,False,,short,5m,2026-03-29 13:11:54
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,long,5m,2026-03-29 13:11:57
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,short,5m,2026-03-29 13:11:57
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1506,False,,,,False,,long,5m,2026-03-29 13:11:58
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1506,False,,,,False,,short,5m,2026-03-29 13:11:58
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.1673,False,,,,False,,long,5m,2026-03-29 13:12:06
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.1673,False,,,,False,,short,5m,2026-03-29 13:12:06
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3337,False,,,,False,,long,5m,2026-03-29 13:12:09
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3337,False,,,,False,,short,5m,2026-03-29 13:12:09
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1058,False,,,,False,,long,5m,2026-03-29 13:12:13
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1058,False,,,,False,,short,5m,2026-03-29 13:12:13
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.08,False,,,,False,,long,5m,2026-03-29 13:13:14
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.08,False,,,,False,,short,5m,2026-03-29 13:13:14
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01205,False,,,,False,,long,5m,2026-03-29 13:13:15
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01205,False,,,,False,,short,5m,2026-03-29 13:13:15
,False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0892,False,,,,False,,long,5m,2026-03-29 13:13:22
,False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0892,False,,,,False,,short,5m,2026-03-29 13:13:22
,False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.406,False,,,,False,,long,5m,2026-03-29 13:13:28
,False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.406,False,,,,False,,short,5m,2026-03-29 13:13:28
,,,reentry_check,True,scan,AUCTION-USDT-SWAP,,,4.406,False,0.0,,,,,scan,5m,2026-03-29 13:13:28
,False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,8.693,False,,,,False,,long,5m,2026-03-29 13:13:29
,False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,8.693,False,,,,False,,short,5m,2026-03-29 13:13:29
,False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1426,False,,,,False,,long,5m,2026-03-29 13:13:31
,False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1426,False,,,,False,,short,5m,2026-03-29 13:13:31
,False,,reentry_check,True,ok,BTC-USDT-SWAP,,,66506.8,False,,,,False,,long,5m,2026-03-29 13:13:42
,False,,reentry_check,True,ok,BTC-USDT-SWAP,,,66506.8,False,,,,False,,short,5m,2026-03-29 13:13:42
,,,reentry_check,True,scan,BTC-USDT-SWAP,,,66506.8,False,0.0,,,,,scan,5m,2026-03-29 13:13:42
,False,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05624,False,,,,False,,long,5m,2026-03-29 13:13:47
,False,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05624,False,,,,False,,short,5m,2026-03-29 13:13:47
,False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.04027,False,,,,False,,long,5m,2026-03-29 13:13:48
,False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.04027,False,,,,False,,short,5m,2026-03-29 13:13:48
,,,reentry_check,True,scan,CHZ-USDT-SWAP,,,0.04027,False,0.0,,,,,scan,5m,2026-03-29 13:13:48
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,long,5m,2026-03-29 13:13:50
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,short,5m,2026-03-29 13:13:50
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,long,5m,2026-03-29 13:13:50
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,short,5m,2026-03-29 13:13:50
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,7.99,False,,,,False,,long,5m,2026-03-29 13:13:51
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,7.99,False,,,,False,,short,5m,2026-03-29 13:13:51
,False,,reentry_check,True,ok,ETH-USDT-SWAP,,,1996.19,False,,,,False,,long,5m,2026-03-29 13:13:51
,False,,reentry_check,True,ok,ETH-USDT-SWAP,,,1996.19,False,,,,False,,short,5m,2026-03-29 13:13:51
,,,reentry_check,True,scan,ETH-USDT-SWAP,,,1996.19,False,0.0,,,,,scan,5m,2026-03-29 13:13:51
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1431,False,,,,False,,long,5m,2026-03-29 13:14:08
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1431,False,,,,False,,short,5m,2026-03-29 13:14:08
,,,reentry_check,True,scan,JUP-USDT-SWAP,,,0.1431,False,0.0,,,,,scan,5m,2026-03-29 13:14:08
,False,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.855,False,,,,False,,long,5m,2026-03-29 13:14:13
,False,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.855,False,,,,False,,short,5m,2026-03-29 13:14:13
,,,reentry_check,True,scan,LIT-USDT-SWAP,,,0.855,False,0.0,,,,,scan,5m,2026-03-29 13:14:13
,False,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.83,False,,,,False,,long,5m,2026-03-29 13:14:17
,False,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.83,False,,,,False,,short,5m,2026-03-29 13:14:17
,,,reentry_check,True,scan,LTC-USDT-SWAP,,,53.83,False,0.0,,,,,scan,5m,2026-03-29 13:14:17
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1021,False,,,,False,,long,5m,2026-03-29 13:14:31
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1021,False,,,,False,,short,5m,2026-03-29 13:14:31
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.19,False,,,,False,,long,5m,2026-03-29 13:14:46
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.19,False,,,,False,,short,5m,2026-03-29 13:14:46
,,,reentry_check,True,scan,SOL-USDT-SWAP,,,82.19,False,0.0,,,,,scan,5m,2026-03-29 13:14:46
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,long,5m,2026-03-29 13:14:54
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,short,5m,2026-03-29 13:14:54
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1506,False,,,,False,,long,5m,2026-03-29 13:14:55
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1506,False,,,,False,,short,5m,2026-03-29 13:14:55
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16719,False,,,,False,,long,5m,2026-03-29 13:15:05
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16719,False,,,,False,,short,5m,2026-03-29 13:15:05
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3323,False,,,,False,,long,5m,2026-03-29 13:15:07
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3323,False,,,,False,,short,5m,2026-03-29 13:15:07
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1055,False,,,,False,,long,5m,2026-03-29 13:15:11
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1055,False,,,,False,,short,5m,2026-03-29 13:15:11
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.16,False,,,,False,,long,5m,2026-03-29 13:16:30
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.16,False,,,,False,,short,5m,2026-03-29 13:16:30
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01204,False,,,,False,,long,5m,2026-03-29 13:16:32
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01204,False,,,,False,,short,5m,2026-03-29 13:16:32
,False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2436,False,,,,False,,long,5m,2026-03-29 13:16:33
,False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2436,False,,,,False,,short,5m,2026-03-29 13:16:33
,False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0892,False,,,,False,,long,5m,2026-03-29 13:16:39
,False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0892,False,,,,False,,short,5m,2026-03-29 13:16:39
,False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6578,False,,,,False,,long,5m,2026-03-29 13:16:42
,False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6578,False,,,,False,,short,5m,2026-03-29 13:16:42
,False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.401,False,,,,False,,long,5m,2026-03-29 13:16:45
