2026-03-29 15:47:35,428 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SUI-USDT-SWAP short payload={'instId': 'SUI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788455428', 'slTriggerPx': '0.85642', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:49:33,866 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432149047023329280 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432149047023329280', 'newSlTriggerPx': '0.0729', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:49:39,268 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788579268', 'slTriggerPx': '0.0729', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:49:54,514 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop INJ-USDT-SWAP short payload={'instId': 'INJ-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788594514', 'slTriggerPx': '2.803', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:49:55,575 | INFO | root | okx_gateway:close_position:466 | Closing position INJ-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-29 15:50:04,084 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop OP-USDT-SWAP short payload={'instId': 'OP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788604084', 'slTriggerPx': '0.10146', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:50:05,150 | INFO | root | okx_gateway:close_position:466 | Closing position OP-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-29 15:51:49,876 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to AXS-USDT-SWAP (isolated)
2026-03-29 15:51:50,125 | INFO | root | okx_gateway:place_market_order:639 | Placing order AXS-USDT-SWAP sell qty=24186.0 attached_stop=True attached_stop_px=1.1929
2026-03-29 15:51:55,018 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432154619307188224 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432154619307188224', 'newSlTriggerPx': '0.073', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:51:57,338 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788717338', 'slTriggerPx': '0.073', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:52:02,624 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop ZIL-USDT-SWAP short payload={'instId': 'ZIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788722624', 'slTriggerPx': '0.003684', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:52:03,580 | INFO | root | okx_gateway:close_position:466 | Closing position ZIL-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-29 15:52:05,896 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SUI-USDT-SWAP short payload={'instId': 'SUI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788725896', 'slTriggerPx': '0.8571', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:52:06,846 | INFO | root | okx_gateway:close_position:466 | Closing position SUI-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-29 15:52:09,180 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop ATOM-USDT-SWAP algo=3432139912533860352 payload=[{'instId': 'ATOM-USDT-SWAP', 'algoId': '3432139912533860352', 'newSlTriggerPx': '1.65', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
